Feature,Importance
square_gldm_DependenceNonUniformityNormalized,0.0008342677278742007
exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.0008238516488522429
lbp-3D-k_firstorder_RobustMeanAbsoluteDeviation,0.0008236722588314126
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.0008229494092971937
wavelet-LLH_gldm_DependenceEntropy,0.0008170416908044648
wavelet-HLH_glszm_ZoneEntropy,0.0008161736335099111
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0008153510188391769
wavelet-LLL_firstorder_Entropy,0.0008150232006946307
wavelet-LHL_glrlm_RunVariance,0.0008130282017281062
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.000810959569960733
lbp-3D-m1_firstorder_RobustMeanAbsoluteDeviation,0.0008082687675652462
lbp-3D-m2_glrlm_RunLengthNonUniformity,0.0008073829305391714
squareroot_glcm_MCC,0.0007983974829984694
log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.0007955723419519695
log-sigma-4-0-mm-3D_glszm_ZoneEntropy,0.0007936800061656646
lbp-3D-m2_glrlm_LongRunEmphasis,0.0007934188863234984
wavelet-LLH_glcm_SumSquares,0.0007911591931366149
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.0007908860193509805
lbp-3D-k_glcm_Imc2,0.0007894304765709904
wavelet-LHL_gldm_DependenceVariance,0.0007822858200312379
exponential_glszm_LargeAreaEmphasis,0.0007799602559305092
exponential_firstorder_Minimum,0.000778529121773509
gradient_glcm_Autocorrelation,0.0007768607462760121
squareroot_glcm_JointAverage,0.00077118404874265
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.0007691048294421084
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.0007677495121801675
lbp-2D_glrlm_RunLengthNonUniformityNormalized,0.0007661022715070168
original_shape_Elongation,0.0007634445017940784
wavelet-LHH_glcm_InverseVariance,0.000761166099600894
log-sigma-4-0-mm-3D_firstorder_Median,0.0007581315305982916
wavelet-HLL_firstorder_Skewness,0.0007576331049653482
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformity,0.0007576001982138661
lbp-3D-k_firstorder_Uniformity,0.0007528548493206611
log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.0007487122933112558
log-sigma-3-0-mm-3D_glrlm_RunVariance,0.0007469849628744285
